ev,iv,wmc,cbo,loc,lcom,dam,ce,moa,npm,max_cc,cc,es,ed,ev,loops,functions,ca,noc,bug
968,1,0,0,165,17,0.1973684211,7,0,17,11,15,165,13,217,8,14,40,0,0
720,7,0,0,87,1,0.3516483516,14,0,1,1,4,87,3,160,3,1,43,0,0
401,3,0,0,46,6,0.12,1,0,6,5,8,46,5,97,6,6,11,0,1
296,2,0,0,39,6,0.2903225806,4,0,,3,8,39,1,72,2,6,16,0,1
156,2,0,0,24,2,0.44,4,0.3333333333,2,2,2,24,2,32,1,2,9,0,0
359,1,0,0,53,5,0.34375,2,0,5,3,5,53,3,67,0,4,26,0,1
202,2,0,0,27,4,0.4722222222,5,0,4,1,6,27,1,39,0,4,6,0,0
259,2,0,0,33,4,0.3636363636,0,0.2,4,5,2,33,5,49,5,4,10,0,1
941,1,0,0,91,8,0.3461538462,5,0,8,2,9,91,4,184,0,8,31,0,0
861,1,0,0,72,7,0,1,0,7,8,6,72,11,185,10,5,19,0,1
174,1,0,0,17,1,0.3636363636,2,0,1,1,2,17,0,30,0,1,6,0,0
2724,2,0,0,48,1,0.1153846154,1,0,1,9,3,48,5,104,4,1,21,0,0
484,1,0,0,88,1,0.125,1,0,1,17,2,88,14,103,2,1,13,0,0
677,1,0,0,93,10,0.4464285714,2,0,10,5,11,93,3,121,1,10,21,0,1
1346,1,0,0,160,4,0.2368421053,5,0,4,24,5,160,34,286,5,4,75,0,0
411,1,0,0,35,1,0.303030303,3,0,1,3,2,35,1,70,1,1,14,0,1
224,6,0,0,26,1,0.5806451613,8,0.5,1,1,2,26,3,41,2,1,10,0,0
456,1,0,0,54,5,0.2941176471,3,0.1666666667,5,4,2,54,2,101,5,5,23,0,1
304,5,0,0,43,4,0.3714285714,6,0,4,2,8,43,4,62,1,4,13,0,0
1449,4,0,0,142,7,0.3859649123,22,0.125,7,3,4,142,2,291,2,7,50,0,0
1424,1,0,0,88,2,0.3766233766,8,0,2,29,2,88,20,282,8,1,24,0,0
75,1,0,0,12,1,0.3333333333,3,0,1,1,2,12,0,14,0,1,3,0,1
1625,1,0,0,150,14,0.2837837838,7,0.06666666667,14,9,12,150,9,294,0,14,59,0,0
3559,4,0,0,348,13,0.3684210526,11,0,13,15,15,348,23,632,9,13,136,0,0
169,2,0,0,24,6,0.3333333333,1,0.25,6,1,2,24,0,31,1,6,6,0,1
370,2,0,0,37,5,0.243902439,4,0,5,1,7,37,1,95,0,5,20,0,1
